training_loss,epoch,eval_recall_10,eval_recall_50,eval_recall_100,eval_acc_10,eval_acc_50,eval_acc_100,test_recall_10,test_recall_50,test_recall_100,test_acc_10,test_acc_50,test_acc_100
1.6287286827446883,1,0.9879365808823529,0.9991957720588235,1.0,0.9879365808823529,0.9991957720588235,1.0,0.43499999999999994,0.6775,0.8324999999999999,0.43499999999999994,0.6775,0.8324999999999999
0.5285616687696832,2,0.9946001838235294,1.0,1.0,0.9946001838235294,1.0,1.0,0.44000000000000006,0.71,0.8674999999999999,0.44000000000000006,0.71,0.8674999999999999
0.36512525065034784,3,0.9944852941176471,1.0,1.0,0.9944852941176471,1.0,1.0,0.44499999999999995,0.6975,0.85,0.44499999999999995,0.6975,0.85
0.29172525428467155,4,0.9942555147058824,0.9995404411764706,1.0,0.9942555147058824,0.9995404411764706,1.0,0.4175,0.695,0.8625,0.4175,0.695,0.8625
0.24478802096504004,5,0.9926470588235294,0.9996553308823529,1.0,0.9926470588235294,0.9996553308823529,1.0,0.41999999999999993,0.6975000000000001,0.8549999999999999,0.41999999999999993,0.6975000000000001,0.8549999999999999
0.2093657477532026,6,0.9943704044117647,0.9996553308823529,1.0,0.9943704044117647,0.9996553308823529,1.0,0.3975,0.6275000000000001,0.8175000000000001,0.3975,0.6275000000000001,0.8175000000000001
0.19131910337685304,7,0.9942555147058824,0.9995404411764706,1.0,0.9942555147058824,0.9995404411764706,1.0,0.41749999999999987,0.69,0.8525,0.41749999999999987,0.69,0.8525
0.18132354897191177,8,0.9927619485294118,0.9996553308823529,1.0,0.9927619485294118,0.9996553308823529,1.0,0.42000000000000004,0.6475000000000001,0.8150000000000001,0.42000000000000004,0.6475000000000001,0.8150000000000001
0.17254120998393377,9,0.9936810661764706,0.9995404411764706,0.9998851102941176,0.9936810661764706,0.9995404411764706,0.9998851102941176,0.4,0.6125,0.7950000000000002,0.4,0.6125,0.7950000000000002
0.16482167655283614,10,0.9934512867647058,0.9990808823529411,0.9998851102941176,0.9934512867647058,0.9990808823529411,0.9998851102941176,0.40499999999999997,0.625,0.8025,0.40499999999999997,0.625,0.8025
0.15281071597372467,11,0.9939108455882353,0.9991957720588235,1.0,0.9939108455882353,0.9991957720588235,1.0,0.4375,0.6475,0.8125,0.4375,0.6475,0.8125
0.14441157958031164,12,0.9948299632352942,0.9996553308823529,1.0,0.9948299632352942,0.9996553308823529,1.0,0.39249999999999996,0.6425,0.7999999999999999,0.39249999999999996,0.6425,0.7999999999999999
0.14166031672662713,13,0.994140625,0.9990808823529411,0.9998851102941176,0.994140625,0.9990808823529411,0.9998851102941176,0.38,0.625,0.7875000000000001,0.38,0.625,0.7875000000000001
0.13809366766459893,14,0.9944852941176471,0.9994255514705882,1.0,0.9944852941176471,0.9994255514705882,1.0,0.42749999999999994,0.6749999999999999,0.8525,0.42749999999999994,0.6749999999999999,0.8525
0.13597973221864726,15,0.9939108455882353,0.9988511029411765,0.9998851102941176,0.9939108455882353,0.9988511029411765,0.9998851102941176,0.37749999999999995,0.6025,0.7450000000000001,0.37749999999999995,0.6025,0.7450000000000001
